n,trials,total_mean_s,total_std_s,read_mean_s,compute_mean_s,write_mean_s
1000,349,0.005737291040114613,0.00017987942373046166,0.003237869787965616,0.0024280882779369626,6.168889684813754e-05
2000,88,0.022913317761363638,0.0005236705112094254,0.013163238761363636,0.009660113954545455,7.678161363636364e-05
3000,39,0.05261169346153846,0.001483643245393631,0.030418499923076922,0.022079516615384615,0.00010061869230769231
4000,14,0.18761013235714286,0.3333295527119027,0.14819334235714285,0.039286051571428574,0.00011186942857142857
5000,14,0.14983006885714287,0.01050868464404826,0.08799300878571428,0.061683280214285714,0.00012392664285714285
6000,10,0.2135316848,0.009907252651247657,0.12537355420000001,0.087987852,0.0001374005
7000,7,0.29762445185714287,0.019524813863621145,0.17720133942857144,0.12023595428571429,0.00014713857142857143
8000,6,0.3816736141666667,0.019131237233204295,0.2249171735,0.156558156,0.00015830966666666667
9000,5,0.4973345756,0.025714924041015327,0.2984633922,0.1984246732,0.000402689
10000,5,0.6063676834,0.0289050686828194,0.35929818139999997,0.2465925216,0.0004356862
