n,p,total_s,read_s,compute_s,write_s
1000,1,0.012433426,0.009868963,0.002493815,6.2546e-05
1000,2,0.01178886,0.010461425,0.001220208,7.9854e-05
1000,3,0.010363107,0.009394389,0.000835404,0.000100501
1000,4,0.010855198,0.009526049,0.000633655,0.000638916
1000,5,0.010505906,0.009833987,0.000499913,0.000102832
1000,6,0.010744144,0.010159075,0.000420098,0.000104466
1000,7,0.009513922,0.009019439,0.000359336,9.6017e-05
1000,8,0.010574251,0.010105517,0.000318681,8.95e-05
2000,1,0.046059446,0.03585583,0.010106644,8.397e-05
2000,2,0.043508525,0.038296256,0.005049879,0.000137229
2000,3,0.038988543,0.035449781,0.003379341,0.000133592
2000,4,0.043463457,0.040748282,0.002569077,0.000124495
2000,5,0.038644372,0.036060074,0.002121029,0.000396966
2000,6,0.036954901,0.034953426,0.001778781,0.00016518
2000,7,0.038887264,0.0370671,0.001654137,0.000136741
2000,8,0.038443061,0.036717759,0.001278251,0.000129347
3000,1,0.113776373,0.091939194,0.0216883,0.000130892
3000,2,0.089106231,0.078163626,0.010760175,0.000153291
3000,3,0.080504922,0.072242413,0.008032133,0.00019896
3000,4,0.075908028,0.07018616,0.005531656,0.000160841
3000,5,0.080196261,0.075201701,0.004725806,0.000215962
3000,6,0.091679368,0.087810111,0.003634159,0.000161035
3000,7,0.073833512,0.069978403,0.003346143,0.00045151
3000,8,0.076700059,0.073494293,0.0029151,0.000192036
4000,1,0.186786414,0.147474559,0.039149325,0.000139909
4000,2,0.177621521,0.157859479,0.019540033,0.00019441
4000,3,0.137201106,0.123998553,0.012989497,0.000180559
4000,4,0.13505341,0.124897505,0.009928634,0.000186869
4000,5,0.144177612,0.135757392,0.008152895,0.000213638
4000,6,0.143474823,0.136043202,0.007150649,0.000236604
4000,7,0.168077387,0.16184399,0.005965981,0.00020687
4000,8,0.145582185,0.140075912,0.005195406,0.000227529
5000,1,0.286792461,0.227635206,0.0589993,0.000133226
5000,2,0.298154168,0.266217832,0.031677169,0.000217527
5000,3,0.213551407,0.19293384,0.020369219,0.000221531
5000,4,0.215518834,0.199020483,0.016187236,0.000252476
5000,5,0.219791685,0.206663578,0.012608499,0.000229976
5000,6,0.220843465,0.210262506,0.01030335,0.000227488
5000,7,0.201009883,0.191756161,0.008954536,0.000250561
5000,8,0.216527938,0.208410489,0.007842548,0.000210144
6000,1,0.397337728,0.314462137,0.082633,0.000206453
6000,2,0.362684008,0.319670419,0.04273906,0.00022859
6000,3,0.309324426,0.280771419,0.02827201,0.00022825
6000,4,0.378416481,0.355502448,0.02258039,0.000269925
6000,5,0.319732017,0.300670303,0.018770435,0.000228205
6000,6,0.322056906,0.305619719,0.01607165,0.000295538
6000,7,0.388867175,0.374986502,0.013510425,0.000308698
6000,8,0.319043469,0.306767081,0.011877904,0.000321645
7000,1,0.568205986,0.44726481,0.120678976,0.000220868
7000,2,0.48776259,0.426823899,0.060645604,0.000251504
7000,3,0.560417398,0.51966229,0.040466732,0.000248588
7000,4,0.416659703,0.385930163,0.030404098,0.000268023
7000,5,0.449349747,0.424632176,0.024379116,0.000274568
7000,6,0.44390731,0.422026608,0.021530911,0.000296863
7000,7,0.430391005,0.411499694,0.018529084,0.00030085
7000,8,0.579888728,0.563325528,0.016157304,0.000332441
8000,1,0.766011695,0.60754491,0.158192925,0.000225538
8000,2,0.657601566,0.57682708,0.080420128,0.000303033
8000,3,0.583526801,0.528451931,0.054655646,0.000377908
8000,4,0.592335813,0.551300922,0.040667289,0.000317417
8000,5,0.620221153,0.585170348,0.034628406,0.000365449
8000,6,0.708274939,0.67949731,0.02828126,0.000376746
8000,7,0.563986066,0.539469139,0.024055808,0.00038837
8000,8,0.720410785,0.69834807,0.021658324,0.000324556
9000,1,0.931034269,0.733737817,0.196976991,0.000269387
9000,2,0.883163228,0.781483041,0.101028205,0.000584087
9000,3,0.751446363,0.681021987,0.0694895,0.000881989
9000,4,0.809528557,0.75586909,0.052716122,0.000891912
9000,5,0.729281636,0.68822186,0.040358101,0.000634853
9000,6,0.780733905,0.746370636,0.033692179,0.000621336
9000,7,0.672649959,0.643872156,0.028089789,0.00062049
9000,8,0.715411826,0.689284654,0.025457233,0.000590721
10000,1,1.181099245,0.934572754,0.246197008,0.000276662
10000,2,1.03859326,0.910392805,0.127482302,0.000658245
10000,3,1.061942163,0.975412206,0.085729676,0.000692266
10000,4,0.940843056,0.875767827,0.064093585,0.000929819
10000,5,0.860730723,0.80886501,0.05113704,0.000665624
10000,6,1.12045041,1.075536041,0.043900851,0.00092614
10000,7,0.901337234,0.863365381,0.037184396,0.000714214
10000,8,1.139189261,1.10552725,0.032896522,0.000684396
